Christian_Larivera_Right_2.c3d  



Time(s):	B_R_bicipite(μV):
0	8.05664
0.0005	8.05664
0.001	3.92761
0.0015	7.85522
0.002	3.8269
0.0025	5.43823
0.003	3.8269
0.0035	6.94885
0.004	4.22974
0.0045	12.18567
0.005	16.71753
0.0055	19.33594
0.006	20.34302
0.0065	18.42957
0.007	16.71753
0.0075	10.97717
0.008	4.83398
0.0085	3.12195
0.009	2.01416
0.0095	1.61133
0.01	-10.37292
0.0105	-5.63965
0.011	-2.92053
0.0115	-2.92053
0.012	0
0.0125	-1.00708
0.013	-2.21558
0.0135	-0.30212
0.014	-10.97717
0.0145	-11.17859
0.015	-5.74036
0.0155	-3.62549
0.016	0.90637
0.0165	-1.2085
0.017	0.60425
0.0175	-3.52478
0.018	-1.3092
0.0185	10.27222
0.019	6.84814
0.0195	1.91345
0.02	3.8269
0.0205	0.50354
0.021	-1.00708
0.0215	2.71912
0.022	-5.43823
0.0225	-2.21558
0.023	-3.8269
0.0235	-6.94885
0.024	-4.53186
0.0245	1.2085
0.025	3.8269
0.0255	15.30762
0.026	14.90479
0.0265	16.41541
0.027	20.44373
0.0275	13.69629
0.028	11.98425
0.0285	8.7616
0.029	5.23682
0.0295	-1.91345
0.03	1.81274
0.0305	2.21558
0.031	2.31628
0.0315	2.5177
0.032	-3.02124
0.0325	3.22266
0.033	6.74744
0.0335	7.5531
0.034	8.05664
0.0345	16.01257
0.035	12.78992
0.0355	13.09204
0.036	13.29346
0.0365	13.59558
0.037	10.67505
0.0375	4.43115
0.038	10.87646
0.0385	4.02832
0.039	2.31628
0.0395	4.73328
0.04	6.94885
0.0405	4.63257
0.041	6.54602
0.0415	7.75452
0.042	6.2439
0.0425	4.33044
0.043	-0.30212
0.0435	5.53894
0.044	2.92053
0.0445	-1.10779
0.045	-1.2085
0.0455	3.7262
0.046	3.42407
0.0465	4.33044
0.047	2.21558
0.0475	4.12903
0.048	8.96301
0.0485	11.17859
0.049	10.37292
0.0495	4.93469
0.05	13.69629
0.0505	13.39417
0.051	12.89062
0.0515	13.29346
0.052	16.41541
0.0525	20.74585
0.053	22.96143
0.0535	26.18408
0.054	20.64514
0.0545	25.68054
0.055	18.93311
0.0555	22.86072
0.056	26.18408
0.0565	22.6593
0.057	13.09204
0.0575	10.67505
0.058	4.73328
0.0585	9.36584
0.059	-1.71204
0.0595	-2.21558
0.06	-6.64673
0.0605	-7.25098
