Christian_Larivera_Right_1.c3d  



Time(s):	C_L_bicipite(μV):
0	-0.10071
0.0005	1.00708
0.001	1.3092
0.0015	1.51062
0.002	-0.10071
0.0025	4.33044
0.003	5.74036
0.0035	-0.10071
0.004	1.00708
0.0045	-1.2085
0.005	-1.91345
0.0055	-3.7262
0.006	0.60425
0.0065	2.61841
0.007	3.52478
0.0075	-2.41699
0.008	-1.00708
0.0085	-4.22974
0.009	-6.94885
0.0095	0
0.01	-1.3092
0.0105	3.52478
0.011	7.15027
0.0115	3.32336
0.012	3.12195
0.0125	-2.21558
0.013	-1.10779
0.0135	0.10071
0.014	-2.01416
0.0145	-2.41699
0.015	-5.23682
0.0155	1.40991
0.016	-0.90637
0.0165	-1.10779
0.017	-1.3092
0.0175	-0.10071
0.018	1.61133
0.0185	-3.92761
0.019	-2.5177
0.0195	6.64673
0.02	1.61133
0.0205	1.51062
0.021	4.33044
0.0215	0.50354
0.022	-2.31628
0.0225	-1.91345
0.023	-2.5177
0.0235	-0.20142
0.024	5.0354
0.0245	2.21558
0.025	2.31628
0.0255	6.54602
0.026	2.21558
0.0265	2.81982
0.027	4.93469
0.0275	5.94177
0.028	4.43115
0.0285	1.81274
0.029	7.04956
0.0295	6.94885
0.03	4.43115
0.0305	2.81982
0.031	1.81274
0.0315	6.64673
0.032	15.50903
0.0325	6.74744
0.033	9.16443
0.0335	9.97009
0.034	8.7616
0.0345	8.35876
0.035	7.85522
0.0355	6.74744
0.036	8.56018
0.0365	5.53894
0.037	7.04956
0.0375	8.66089
0.038	12.38708
0.0385	10.57434
0.039	8.05664
0.0395	12.99133
0.04	12.08496
0.0405	7.35168
0.041	11.78284
0.0415	14.30054
0.042	12.28638
0.0425	10.87646
0.043	8.66089
0.0435	9.16443
0.044	10.87646
0.0445	8.15735
0.045	11.78284
0.0455	14.70337
0.046	12.08496
0.0465	10.97717
0.047	10.87646
0.0475	10.0708
0.048	11.48071
0.0485	6.94885
0.049	6.74744
0.0495	6.04248
0.05	8.66089
0.0505	9.26514
0.051	8.7616
0.0515	3.62549
0.052	4.93469
0.0525	2.21558
0.053	6.14319
0.0535	7.85522
0.054	6.3446
0.0545	1.10779
0.055	4.83398
0.0555	8.8623
0.056	12.99133
0.0565	9.36584
0.057	3.22266
0.0575	8.05664
0.058	10.0708
0.0585	8.7616
0.059	6.64673
0.0595	11.38
0.06	7.95593
0.0605	0.10071
0.061	4.02832
0.0615	10.97717
0.062	5.53894
0.0625	4.43115
0.063	5.13611
0.0635	6.54602
0.064	1.71204
0.0645	4.63257
0.065	2.5177
0.0655	4.63257
0.066	5.23682
0.0665	8.05664
0.067	7.95593
0.0675	6.3446
0.068	3.22266
0.0685	4.53186
0.069	4.63257
0.0695	2.61841
0.07	0.90637
0.0705	4.93469
0.071	5.23682
0.0715	4.22974
0.072	4.43115
0.0725	-0.10071
0.073	1.00708
0.0735	3.22266
0.074	1.00708
0.0745	2.31628
0.075	5.0354
0.0755	8.45947
0.076	6.74744
0.0765	11.17859
0.077	7.65381
0.0775	7.15027
0.078	8.45947
0.0785	7.04956
0.079	3.52478
0.0795	0.10071
0.08	-0.40283
0.0805	4.53186
0.081	6.3446
0.0815	5.63965
0.082	4.73328
0.0825	1.81274
0.083	3.22266
0.0835	7.35168
0.084	2.11487
0.0845	9.97009
0.085	6.14319
0.0855	7.35168
0.086	5.74036
0.0865	7.65381
0.087	9.26514
0.0875	4.53186
0.088	5.43823
0.0885	2.11487
0.089	8.56018
0.0895	9.66797
0.09	8.66089
0.0905	6.54602
0.091	4.53186
0.0915	6.64673
0.092	6.2439
0.0925	8.25806
0.093	5.43823
0.0935	2.21558
0.094	6.54602
0.0945	4.02832
0.095	12.5885
0.0955	11.2793
0.096	13.39417
0.0965	7.45239
0.097	8.35876
0.0975	6.2439
0.098	12.38708
0.0985	9.06372
0.099	9.56726
0.0995	6.94885
0.1	3.02124
0.1005	6.64673
0.101	7.5531
0.1015	5.23682
0.102	5.63965
0.1025	2.61841
0.103	3.22266
0.1035	0.50354
0.104	7.35168
0.1045	6.44531
0.105	13.39417
0.1055	6.94885
0.106	11.78284
0.1065	9.16443
0.107	8.25806
0.1075	7.75452
0.108	7.75452
0.1085	10.17151
0.109	9.97009
0.1095	4.02832
0.11	2.21558
0.1105	2.41699
0.111	1.00708
0.1115	0.30212
0.112	4.33044
0.1125	3.7262
0.113	5.74036
0.1135	3.32336
0.114	6.2439
0.1145	7.25098
0.115	5.13611
0.1155	7.25098
0.116	5.63965
0.1165	-0.20142
0.117	6.14319
0.1175	6.3446
0.118	6.84814
0.1185	4.73328
0.119	8.35876
0.1195	8.45947
0.12	8.25806
0.1205	12.18567
0.121	7.45239
0.1215	8.15735
0.122	5.13611
0.1225	10.37292
0.123	4.73328
0.1235	4.93469
0.124	10.0708
0.1245	5.94177
0.125	-0.50354
0.1255	9.06372
0.126	3.02124
0.1265	2.41699
0.127	5.94177
0.1275	5.84106
0.128	4.73328
0.1285	6.64673
0.129	2.31628
0.1295	4.12903
0.13	9.06372
0.1305	13.797
0.131	4.22974
0.1315	3.52478
0.132	8.56018
0.1325	12.18567
0.133	1.40991
0.1335	5.43823
0.134	10.27222
0.1345	6.14319
0.135	3.62549
0.1355	1.00708
0.136	12.48779
0.1365	9.76868
0.137	3.52478
0.1375	0.70496
0.138	-0.80566
0.1385	-0.80566
0.139	4.93469
0.1395	4.22974
0.14	9.46655
0.1405	8.35876
0.141	5.13611
0.1415	6.44531
0.142	9.76868
0.1425	7.85522
0.143	5.74036
0.1435	3.62549
0.144	7.65381
0.1445	4.73328
0.145	4.43115
0.1455	2.31628
0.146	6.2439
0.1465	3.62549
0.147	6.54602
0.1475	6.94885
0.148	5.74036
0.1485	6.14319
0.149	5.53894
0.1495	7.25098
0.15	8.66089
0.1505	5.94177
0.151	9.56726
0.1515	5.13611
0.152	4.12903
0.1525	1.51062
0.153	2.11487
0.1535	8.15735
0.154	4.83398
0.1545	6.2439
0.155	7.95593
0.1555	2.31628
0.156	5.74036
0.1565	5.43823
0.157	6.74744
0.1575	3.92761
0.158	5.13611
0.1585	3.8269
0.159	8.15735
0.1595	8.25806
0.16	4.53186
0.1605	3.12195
0.161	6.84814
0.1615	8.05664
0.162	5.23682
0.1625	5.94177
0.163	5.0354
0.1635	9.97009
0.164	5.23682
0.1645	0.20142
0.165	2.81982
0.1655	5.33752
0.166	5.94177
0.1665	3.32336
0.167	4.93469
0.1675	0.60425
0.168	3.7262
0.1685	3.12195
0.169	4.83398
0.1695	4.83398
0.17	4.12903
0.1705	3.12195
0.171	4.22974
0.1715	4.53186
0.172	3.7262
0.1725	3.52478
0.173	-3.12195
0.1735	1.00708
0.174	7.45239
0.1745	8.15735
0.175	5.94177
0.1755	5.53894
0.176	11.38
0.1765	3.92761
0.177	6.74744
0.1775	0.90637
0.178	6.2439
0.1785	7.25098
0.179	5.84106
0.1795	5.23682
0.18	5.33752
0.1805	5.94177
0.181	2.81982
0.1815	5.23682
0.182	2.61841
0.1825	6.14319
0.183	5.94177
0.1835	8.25806
0.184	5.84106
0.1845	2.21558
0.185	5.23682
0.1855	8.15735
0.186	3.32336
0.1865	3.7262
0.187	5.43823
0.1875	3.12195
0.188	2.71912
0.1885	5.43823
0.189	7.35168
0.1895	4.02832
0.19	10.47363
0.1905	12.18567
0.191	6.04248
0.1915	8.7616
0.192	7.15027
0.1925	6.3446
0.193	5.43823
0.1935	5.63965
0.194	5.23682
0.1945	10.67505
0.195	4.53186
0.1955	5.33752
0.196	8.96301
0.1965	8.25806
0.197	3.52478
0.1975	4.33044
0.198	10.17151
0.1985	0.50354
0.199	7.25098
0.1995	12.78992
0.2	13.19275
0.2005	7.25098
0.201	9.76868
0.2015	7.65381
0.202	7.35168
0.2025	6.74744
0.203	7.25098
0.2035	10.0708
0.204	9.76868
0.2045	7.04956
0.205	5.23682
0.2055	9.46655
0.206	9.46655
0.2065	8.66089
0.207	1.91345
0.2075	1.2085
0.208	8.56018
0.2085	10.47363
0.209	6.2439
0.2095	6.84814
0.21	8.7616
0.2105	7.95593
0.211	6.64673
0.2115	8.45947
0.212	5.74036
0.2125	9.66797
0.213	11.38
0.2135	6.94885
0.214	1.10779
0.2145	3.32336
0.215	3.7262
0.2155	2.31628
0.216	5.33752
0.2165	6.84814
0.217	12.08496
0.2175	6.94885
0.218	7.65381
0.2185	6.54602
0.219	2.01416
0.2195	5.23682
0.22	7.35168
0.2205	8.56018
0.221	5.13611
0.2215	7.45239
0.222	0.20142
0.2225	4.02832
0.223	4.33044
0.2235	5.74036
0.224	5.53894
0.2245	1.81274
0.225	2.81982
0.2255	1.91345
0.226	3.8269
0.2265	7.45239
0.227	3.62549
0.2275	2.11487
0.228	5.13611
0.2285	4.02832
0.229	-1.00708
0.2295	1.10779
0.23	2.81982
0.2305	6.04248
0.231	1.61133
0.2315	4.22974
0.232	3.32336
0.2325	6.14319
0.233	6.94885
0.2335	9.46655
0.234	4.22974
0.2345	4.63257
0.235	7.04956
0.2355	8.05664
0.236	8.15735
0.2365	6.64673
0.237	2.71912
0.2375	1.00708
0.238	7.5531
0.2385	8.7616
0.239	-1.51062
0.2395	6.84814
0.24	3.42407
0.2405	2.41699
0.241	2.41699
0.2415	6.44531
0.242	2.41699
0.2425	5.63965
0.243	2.71912
0.2435	6.44531
0.244	6.74744
0.2445	6.04248
0.245	9.97009
0.2455	4.22974
0.246	2.01416
0.2465	2.5177
0.247	3.62549
0.2475	5.94177
0.248	5.0354
0.2485	2.01416
0.249	4.73328
0.2495	6.74744
0.25	3.7262
0.2505	5.63965
0.251	6.64673
0.2515	3.02124
0.252	10.87646
0.2525	5.43823
0.253	7.35168
0.2535	7.85522
0.254	9.36584
0.2545	6.94885
0.255	5.13611
0.2555	8.25806
0.256	4.43115
0.2565	6.04248
0.257	11.58142
0.2575	12.89062
0.258	5.13611
0.2585	4.22974
0.259	2.21558
0.2595	6.3446
0.26	9.06372
0.2605	0.50354
0.261	2.71912
0.2615	4.12903
0.262	-0.80566
0.2625	-1.61133
0.263	2.11487
0.2635	2.41699
0.264	4.93469
0.2645	0.20142
0.265	-0.40283
0.2655	-2.31628
0.266	2.01416
0.2665	5.63965
0.267	2.71912
0.2675	9.06372
0.268	1.81274
0.2685	1.61133
0.269	2.01416
0.2695	9.26514
0.27	2.71912
0.2705	5.84106
0.271	-0.50354
0.2715	7.04956
0.272	-0.10071
0.2725	4.93469
0.273	0.50354
0.2735	4.22974
0.274	1.10779
0.2745	4.02832
0.275	5.84106
0.2755	5.33752
0.276	4.53186
0.2765	5.53894
0.277	7.45239
0.2775	4.53186
0.278	4.53186
0.2785	8.25806
0.279	6.2439
0.2795	1.2085
0.28	4.02832
0.2805	4.73328
0.281	7.45239
0.2815	0.20142
0.282	2.5177
0.2825	5.0354
0.283	7.25098
0.2835	9.66797
0.284	9.36584
0.2845	2.21558
0.285	4.93469
0.2855	6.3446
0.286	9.26514
0.2865	8.96301
0.287	8.15735
0.2875	9.97009
0.288	13.797
0.2885	10.27222
0.289	9.46655
0.2895	8.56018
0.29	6.74744
0.2905	3.8269
0.291	3.22266
0.2915	11.48071
0.292	2.61841
0.2925	6.14319
0.293	4.02832
0.2935	6.04248
0.294	2.71912
0.2945	13.99841
0.295	2.11487
0.2955	6.3446
0.296	5.63965
0.2965	4.43115
0.297	0.60425
0.2975	7.85522
0.298	2.92053
0.2985	9.06372
0.299	4.02832
0.2995	4.12903
0.3	4.93469
0.3005	4.53186
0.301	3.8269
0.3015	7.04956
0.302	1.10779
0.3025	7.15027
0.303	6.3446
0.3035	4.33044
0.304	6.14319
0.3045	6.14319
0.305	6.14319
0.3055	7.75452
0.306	7.04956
0.3065	3.42407
0.307	4.22974
0.3075	5.53894
0.308	6.2439
0.3085	7.85522
0.309	7.5531
0.3095	5.74036
0.31	2.11487
0.3105	5.23682
0.311	9.16443
0.3115	7.35168
0.312	-0.40283
0.3125	5.0354
0.313	3.92761
0.3135	0.70496
0.314	1.91345
0.3145	4.73328
0.315	3.02124
0.3155	2.71912
0.316	10.37292
0.3165	3.42407
0.317	2.61841
0.3175	6.64673
0.318	3.7262
0.3185	4.33044
0.319	6.64673
0.3195	7.35168
0.32	6.54602
0.3205	3.8269
0.321	8.15735
0.3215	2.71912
0.322	2.5177
0.3225	3.7262
0.323	6.04248
0.3235	6.74744
0.324	5.63965
0.3245	5.53894
0.325	5.13611
0.3255	6.44531
0.326	5.13611
0.3265	9.66797
0.327	3.52478
0.3275	9.86938
0.328	4.73328
0.3285	4.53186
0.329	0.10071
0.3295	7.5531
0.33	9.97009
0.3305	5.23682
0.331	8.05664
0.3315	7.95593
0.332	5.13611
0.3325	8.25806
0.333	5.84106
0.3335	7.15027
0.334	9.46655
0.3345	5.0354
0.335	12.68921
0.3355	5.94177
0.336	12.78992
0.3365	14.50195
0.337	13.49487
0.3375	12.28638
0.338	11.88354
0.3385	14.30054
0.339	4.93469
0.3395	11.68213
0.34	6.14319
0.3405	10.87646
0.341	13.09204
0.3415	7.95593
0.342	4.83398
0.3425	8.8623
0.343	5.0354
0.3435	7.85522
0.344	8.05664
0.3445	8.7616
0.345	4.83398
0.3455	5.43823
0.346	3.22266
0.3465	6.44531
0.347	2.71912
0.3475	3.22266
0.348	0.90637
0.3485	9.36584
0.349	6.94885
0.3495	7.5531
0.35	6.2439
0.3505	3.42407
0.351	4.63257
0.3515	5.63965
0.352	5.0354
0.3525	6.04248
0.353	2.31628
0.3535	3.92761
0.354	2.5177
0.3545	3.02124
0.355	-1.81274
0.3555	1.71204
0.356	9.26514
0.3565	4.83398
0.357	8.15735
0.3575	4.93469
0.358	3.02124
0.3585	4.83398
0.359	5.63965
0.3595	6.3446
0.36	6.04248
0.3605	10.0708
0.361	4.02832
0.3615	5.0354
0.362	6.94885
0.3625	3.92761
0.363	2.5177
0.3635	-1.00708
0.364	1.2085
0.3645	2.71912
0.365	3.8269
0.3655	1.3092
0.366	7.95593
0.3665	5.43823
0.367	4.73328
0.3675	6.84814
0.368	2.61841
0.3685	-1.00708
0.369	-0.10071
0.3695	3.32336
0.37	6.14319
0.3705	2.71912
0.371	3.32336
0.3715	0.50354
0.372	3.42407
0.3725	3.52478
0.373	1.10779
0.3735	4.43115
0.374	4.93469
0.3745	1.71204
0.375	3.62549
0.3755	2.11487
0.376	7.35168
0.3765	5.43823
0.377	6.2439
0.3775	4.63257
0.378	3.7262
0.3785	10.0708
0.379	3.22266
0.3795	4.12903
0.38	0.40283
0.3805	0.30212
0.381	2.81982
0.3815	4.73328
0.382	1.2085
0.3825	7.15027
0.383	4.02832
0.3835	5.53894
0.384	6.74744
0.3845	3.42407
0.385	4.33044
0.3855	7.15027
0.386	6.04248
0.3865	10.17151
0.387	7.75452
0.3875	6.94885
0.388	8.96301
0.3885	6.3446
0.389	7.35168
0.3895	8.8623
0.39	5.94177
0.3905	7.85522
0.391	6.3446
0.3915	4.63257
0.392	4.83398
0.3925	11.98425
0.393	8.05664
0.3935	10.47363
0.394	4.73328
0.3945	6.04248
0.395	11.07788
0.3955	11.07788
0.396	3.02124
0.3965	7.65381
0.397	10.67505
0.3975	3.02124
0.398	6.3446
0.3985	9.46655
0.399	4.33044
0.3995	7.15027
0.4	11.07788
