Christian_Larivera_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0	10.37292
0.0005	4.53186
0.001	2.81982
0.0015	2.92053
0.002	5.74036
0.0025	4.63257
0.003	8.96301
0.0035	8.96301
0.004	7.95593
0.0045	-1.40991
0.005	2.5177
0.0055	7.25098
0.006	2.71912
0.0065	5.33752
0.007	5.53894
0.0075	0.30212
0.008	2.11487
0.0085	-0.80566
0.009	-2.21558
0.0095	1.10779
0.01	2.81982
0.0105	-0.90637
0.011	0.40283
0.0115	1.3092
0.012	6.64673
0.0125	7.85522
0.013	5.23682
0.0135	3.52478
0.014	1.81274
0.0145	5.74036
0.015	6.2439
0.0155	9.46655
0.016	6.04248
0.0165	8.25806
0.017	11.88354
0.0175	13.09204
0.018	9.97009
0.0185	14.40125
0.019	14.30054
0.0195	19.43665
0.02	14.80408
0.0205	17.42249
0.021	16.21399
0.0215	14.09912
0.022	14.30054
0.0225	13.49487
0.023	17.32178
0.0235	21.24939
0.024	19.13452
0.0245	18.53027
0.025	18.32886
0.0255	15.50903
0.026	14.40125
0.0265	19.33594
0.027	19.23523
0.0275	13.19275
0.028	18.53027
0.0285	19.43665
0.029	13.89771
0.0295	15.50903
0.03	13.39417
0.0305	8.45947
0.031	10.37292
0.0315	9.97009
0.032	8.35876
0.0325	5.13611
0.033	9.66797
0.0335	11.98425
0.034	10.77576
0.0345	6.04248
0.035	10.37292
0.0355	7.75452
0.036	11.07788
0.0365	5.13611
0.037	5.23682
0.0375	7.15027
0.038	4.93469
0.0385	8.96301
0.039	7.95593
0.0395	-0.40283
0.04	6.04248
0.0405	2.21558
0.041	-2.41699
0.0415	2.41699
0.042	1.51062
0.0425	0.60425
0.043	-0.60425
0.0435	7.15027
0.044	6.14319
0.0445	-1.2085
0.045	-3.32336
0.0455	2.81982
0.046	3.22266
0.0465	5.74036
0.047	7.25098
0.0475	6.14319
0.048	9.86938
0.0485	6.54602
0.049	5.63965
0.0495	10.97717
0.05	1.3092
0.0505	4.22974
0.051	7.85522
0.0515	4.22974
0.052	6.84814
0.0525	4.43115
0.053	4.83398
0.0535	1.2085
0.054	2.41699
0.0545	5.74036
0.055	2.31628
0.0555	5.13611
0.056	-0.50354
0.0565	1.71204
0.057	3.02124
0.0575	8.15735
0.058	4.12903
0.0585	5.13611
0.059	3.42407
0.0595	1.61133
0.06	1.61133
0.0605	7.35168
0.061	5.33752
0.0615	6.14319
0.062	-0.70496
0.0625	1.10779
0.063	-4.02832
0.0635	4.43115
0.064	1.00708
0.0645	-0.60425
0.065	5.0354
0.0655	2.31628
0.066	3.32336
0.0665	0
0.067	7.45239
0.0675	0.70496
0.068	3.52478
0.0685	5.63965
0.069	-3.42407
0.0695	-2.31628
0.07	2.5177
0.0705	0.30212
0.071	1.91345
0.0715	4.93469
0.072	0.40283
0.0725	-4.93469
0.073	-1.81274
0.0735	2.71912
0.074	3.02124
0.0745	4.53186
0.075	6.64673
0.0755	4.33044
0.076	-0.50354
0.0765	0.50354
0.077	5.63965
0.0775	1.71204
0.078	2.11487
0.0785	10.27222
0.079	4.53186
0.0795	8.96301
0.08	6.94885
0.0805	5.43823
0.081	8.56018
0.0815	10.47363
0.082	11.48071
0.0825	14.90479
0.083	10.97717
0.0835	4.53186
0.084	4.22974
0.0845	9.06372
0.085	6.44531
0.0855	8.96301
0.086	4.53186
0.0865	9.06372
0.087	6.84814
0.0875	7.85522
0.088	13.99841
0.0885	6.94885
0.089	8.05664
0.0895	13.09204
0.09	8.8623
0.0905	14.50195
0.091	15.20691
0.0915	11.48071
0.092	10.17151
0.0925	9.56726
0.093	10.17151
0.0935	9.56726
0.094	12.28638
0.0945	13.99841
0.095	14.50195
0.0955	14.50195
0.096	9.56726
0.0965	16.71753
0.097	23.26355
0.0975	15.91187
0.098	16.3147
0.0985	18.12744
0.099	12.18567
0.0995	14.50195
0.1	19.53735
0.1005	13.39417
0.101	17.6239
0.1015	16.01257
0.102	16.91895
0.1025	12.78992
0.103	10.77576
0.1035	15.40833
0.104	12.99133
0.1045	7.65381
0.105	8.45947
0.1055	14.80408
0.106	5.13611
0.1065	1.91345
0.107	11.78284
0.1075	10.57434
0.108	5.23682
0.1085	4.53186
0.109	11.2793
0.1095	10.37292
0.11	11.48071
0.1105	10.47363
0.111	6.84814
0.1115	13.797
0.112	9.46655
0.1125	10.47363
0.113	6.04248
0.1135	8.45947
0.114	3.22266
0.1145	4.12903
0.115	6.44531
0.1155	7.04956
0.116	4.93469
0.1165	3.8269
0.117	1.91345
0.1175	3.52478
0.118	7.04956
0.1185	2.41699
0.119	2.81982
0.1195	2.92053
0.12	3.7262
0.1205	6.3446
0.121	7.5531
0.1215	6.84814
0.122	2.71912
0.1225	4.63257
0.123	5.0354
0.1235	1.00708
0.124	0.30212
0.1245	-0.80566
0.125	2.81982
0.1255	-2.01416
0.126	-0.20142
0.1265	-1.00708
0.127	0
0.1275	1.61133
0.128	2.31628
0.1285	-2.41699
0.129	0.20142
0.1295	-2.31628
0.13	-0.90637
0.1305	0.50354
0.131	5.94177
0.1315	1.51062
0.132	4.43115
0.1325	3.42407
0.133	8.05664
0.1335	2.5177
0.134	5.33752
0.1345	3.7262
0.135	5.74036
0.1355	7.15027
0.136	6.14319
0.1365	9.26514
0.137	11.38
0.1375	9.16443
0.138	8.7616
0.1385	8.25806
0.139	11.98425
0.1395	8.05664
0.14	10.47363
0.1405	7.35168
0.141	7.25098
0.1415	8.56018
0.142	8.7616
0.1425	6.2439
0.143	13.19275
0.1435	7.04956
0.144	4.02832
0.1445	9.86938
0.145	7.75452
0.1455	3.62549
0.146	2.21558
0.1465	1.51062
0.147	7.95593
0.1475	5.43823
0.148	5.13611
0.1485	9.56726
0.149	8.25806
0.1495	4.93469
0.15	3.32336
0.1505	4.02832
0.151	2.5177
0.1515	1.51062
0.152	1.71204
0.1525	1.2085
0.153	-4.43115
0.1535	2.71912
0.154	0.80566
0.1545	-0.20142
0.155	0.30212
0.1555	1.40991
0.156	2.71912
0.1565	-1.40991
0.157	-2.81982
0.1575	0.20142
0.158	-0.50354
0.1585	-2.41699
0.159	-9.76868
0.1595	-6.04248
0.16	-4.93469
0.1605	-1.91345
0.161	-1.40991
0.1615	-5.53894
0.162	-3.32336
0.1625	-2.41699
0.163	3.92761
0.1635	2.21558
0.164	0.90637
0.1645	3.22266
0.165	9.66797
0.1655	10.17151
0.166	2.21558
0.1665	9.56726
0.167	11.58142
0.1675	8.96301
