Marco_Margarita_Right_1.c3d  



Time(s):	C_L_bicipite(μV):
0	10.47363
0.0005	12.78992
0.001	8.8623
0.0015	8.8623
0.002	10.37292
0.0025	14.70337
0.003	8.56018
0.0035	8.96301
0.004	9.86938
0.0045	9.26514
0.005	10.0708
0.0055	12.08496
0.006	10.77576
0.0065	7.5531
0.007	5.53894
0.0075	8.25806
0.008	9.56726
0.0085	15.1062
0.009	11.78284
0.0095	10.87646
0.01	4.02832
0.0105	11.2793
0.011	5.0354
0.0115	7.15027
0.012	7.95593
0.0125	11.48071
0.013	9.56726
0.0135	14.80408
0.014	14.30054
0.0145	13.797
0.015	19.53735
0.0155	13.09204
0.016	17.32178
0.0165	19.83948
0.017	22.86072
0.0175	25.177
0.018	19.13452
0.0185	24.67346
0.019	22.86072
0.0195	18.93311
0.02	15.91187
0.0205	17.82532
0.021	15.30762
0.0215	16.81824
0.022	15.81116
0.0225	13.19275
0.023	7.45239
0.0235	7.35168
0.024	7.5531
0.0245	4.43115
0.025	3.42407
0.0255	-5.23682
0.026	-2.5177
0.0265	-3.12195
0.027	-2.21558
0.0275	-3.7262
0.028	-5.13611
0.0285	-6.04248
0.029	-7.85522
0.0295	-9.46655
0.03	-1.81274
0.0305	0.30212
0.031	1.91345
0.0315	1.81274
0.032	2.41699
0.0325	8.15735
0.033	10.77576
0.0335	9.26514
0.034	12.5885
0.0345	6.54602
0.035	3.32336
0.0355	8.05664
0.036	3.12195
0.0365	4.02832
0.037	9.97009
0.0375	4.22974
0.038	4.22974
0.0385	3.8269
0.039	7.95593
0.0395	2.61841
0.04	4.73328
0.0405	2.21558
0.041	10.37292
0.0415	1.51062
0.042	3.62549
0.0425	4.73328
0.043	9.46655
0.0435	14.50195
0.044	11.88354
0.0445	6.94885
0.045	11.07788
0.0455	7.65381
0.046	17.42249
0.0465	7.35168
0.047	10.57434
0.0475	12.89062
0.048	9.26514
0.0485	9.97009
0.049	12.78992
0.0495	6.44531
0.05	11.68213
0.0505	5.74036
0.051	10.87646
0.0515	9.86938
0.052	9.76868
0.0525	8.96301
0.053	6.2439
0.0535	6.14319
0.054	5.0354
0.0545	13.09204
0.055	11.07788
0.0555	5.0354
0.056	10.97717
0.0565	13.59558
0.057	11.78284
0.0575	9.06372
0.058	10.17151
0.0585	14.50195
0.059	12.08496
0.0595	12.68921
0.06	10.87646
0.0605	9.56726
0.061	10.47363
0.0615	6.74744
0.062	7.65381
0.0625	14.30054
0.063	15.40833
0.0635	17.42249
0.064	11.17859
0.0645	12.68921
0.065	12.89062
0.0655	11.2793
0.066	9.97009
0.0665	6.14319
0.067	4.83398
0.0675	2.92053
0.068	1.81274
0.0685	-6.3446
0.069	-0.60425
0.0695	-7.75452
0.07	-10.37292
0.0705	-10.77576
0.071	-9.26514
0.0715	-4.43115
0.072	-4.63257
0.0725	3.12195
0.073	8.66089
0.0735	12.5885
0.074	12.48779
