Marco_Margarita_Right_1.c3d  



Time(s):	A_L_bicipite(μV):
0	19.83948
0.0005	14.19983
0.001	13.797
0.0015	11.58142
0.002	11.2793
0.0025	9.66797
0.003	7.45239
0.0035	6.44531
0.004	9.66797
0.0045	8.8623
0.005	2.92053
0.0055	7.75452
0.006	8.8623
0.0065	13.69629
0.007	9.26514
0.0075	11.78284
0.008	9.36584
0.0085	4.53186
0.009	3.12195
0.0095	3.52478
0.01	2.61841
0.0105	0.30212
0.011	4.22974
0.0115	3.42407
0.012	2.21558
0.0125	6.3446
0.013	7.45239
0.0135	12.5885
0.014	6.74744
0.0145	8.25806
0.015	10.87646
0.0155	12.28638
0.016	12.5885
0.0165	12.89062
0.017	12.18567
0.0175	5.13611
0.018	-4.22974
0.0185	-6.84814
0.019	-4.93469
0.0195	0.60425
0.02	-5.43823
0.0205	-2.92053
0.021	-0.20142
0.0215	3.62549
0.022	8.15735
0.0225	6.74744
0.023	7.85522
0.0235	7.35168
0.024	4.43115
0.0245	4.33044
0.025	2.41699
0.0255	-6.04248
0.026	-2.71912
0.0265	1.2085
0.027	5.84106
0.0275	5.63965
0.028	9.66797
0.0285	10.97717
0.029	19.03381
0.0295	21.65222
0.03	16.3147
0.0305	21.14868
0.031	19.73877
0.0315	18.8324
0.032	14.60266
0.0325	17.22107
0.033	18.73169
0.0335	21.3501
0.034	19.23523
0.0345	12.28638
0.035	10.47363
0.0355	11.68213
0.036	12.89062
0.0365	8.7616
0.037	8.7616
0.0375	9.36584
0.038	7.75452
0.0385	4.63257
0.039	1.51062
0.0395	1.00708
0.04	-3.8269
0.0405	-4.12903
0.041	-11.68213
0.0415	-17.72461
0.042	-18.02673
0.0425	-11.58142
0.043	-11.58142
0.0435	-6.44531
0.044	-13.49487
0.0445	-10.17151
0.045	-8.8623
0.0455	-12.38708
0.046	-5.33752
0.0465	1.71204
0.047	3.8269
0.0475	2.5177
0.048	2.11487
0.0485	-5.33752
0.049	-5.13611
0.0495	-9.56726
0.05	-11.48071
0.0505	-6.2439
0.051	-11.48071
0.0515	-13.29346
0.052	-4.53186
0.0525	0.30212
0.053	5.43823
0.0535	3.02124
0.054	1.00708
0.0545	-4.12903
0.055	-0.60425
0.0555	2.5177
0.056	6.14319
0.0565	12.78992
0.057	10.57434
0.0575	6.14319
0.058	6.14319
0.0585	10.37292
0.059	6.54602
0.0595	7.65381
0.06	6.94885
0.0605	4.02832
0.061	2.41699
0.0615	5.43823
0.062	0.30212
0.0625	1.81274
0.063	6.04248
0.0635	5.84106
0.064	8.35876
0.0645	13.19275
0.065	8.45947
0.0655	7.65381
0.066	8.35876
0.0665	1.00708
0.067	12.38708
0.0675	13.09204
0.068	15.81116
0.0685	8.45947
0.069	12.99133
0.0695	14.70337
0.07	6.84814
0.0705	10.0708
0.071	13.09204
0.0715	16.01257
0.072	13.99841
0.0725	12.38708
0.073	14.90479
0.0735	16.41541
0.074	14.50195
0.0745	10.37292
0.075	10.87646
0.0755	13.39417
0.076	13.09204
0.0765	9.06372
0.077	9.36584
0.0775	11.78284
0.078	10.57434
0.0785	7.45239
0.079	11.78284
0.0795	5.33752
0.08	3.8269
0.0805	5.0354
0.081	-0.30212
0.0815	-2.31628
0.082	-0.50354
0.0825	4.02832
0.083	-1.40991
0.0835	0.60425
0.084	0.80566
0.0845	2.61841
0.085	1.3092
0.0855	3.02124
0.086	1.71204
0.0865	3.42407
0.087	4.22974
0.0875	2.61841
0.088	3.32336
0.0885	1.91345
0.089	3.92761
0.0895	8.35876
0.09	6.64673
0.0905	9.46655
0.091	6.94885
0.0915	8.66089
0.092	4.93469
0.0925	3.32336
0.093	4.73328
0.0935	1.10779
0.094	-6.04248
0.0945	-1.40991
0.095	-2.11487
0.0955	-1.51062
0.096	-1.71204
0.0965	-2.21558
0.097	2.41699
0.0975	-1.91345
0.098	1.3092
0.0985	-0.40283
0.099	2.01416
0.0995	3.92761
0.1	0.90637
0.1005	2.41699
0.101	1.51062
0.1015	5.84106
0.102	4.33044
0.1025	2.31628
0.103	4.73328
0.1035	7.95593
0.104	12.08496
0.1045	14.60266
0.105	14.50195
0.1055	12.68921
0.106	15.71045
0.1065	6.2439
0.107	9.26514
0.1075	11.48071
0.108	10.0708
0.1085	10.37292
0.109	9.46655
0.1095	5.63965
0.11	8.35876
0.1105	2.92053
0.111	7.04956
0.1115	17.12036
0.112	22.25647
0.1125	17.72461
0.113	13.29346
0.1135	9.76868
0.114	3.22266
0.1145	7.04956
0.115	6.14319
0.1155	8.56018
0.116	6.2439
0.1165	2.41699
0.117	5.74036
0.1175	1.91345
0.118	6.94885
0.1185	8.66089
0.119	0.90637
0.1195	4.12903
0.12	6.2439
0.1205	5.63965
0.121	9.76868
0.1215	11.98425
0.122	15.71045
0.1225	16.01257
0.123	10.17151
0.1235	7.15027
0.124	2.92053
0.1245	-4.33044
0.125	0.90637
0.1255	4.93469
0.126	1.61133
0.1265	3.22266
0.127	1.3092
0.1275	2.61841
0.128	1.2085
0.1285	-1.91345
0.129	3.52478
0.1295	2.81982
0.13	6.54602
0.1305	2.11487
0.131	5.94177
0.1315	8.56018
0.132	8.66089
0.1325	13.49487
0.133	7.5531
0.1335	16.01257
0.134	11.07788
0.1345	7.5531
0.135	13.89771
0.1355	18.02673
0.136	10.77576
0.1365	13.89771
0.137	17.01965
0.1375	20.34302
0.138	22.45789
0.1385	17.01965
0.139	14.30054
0.1395	15.71045
0.14	9.66797
0.1405	2.41699
0.141	7.95593
0.1415	2.31628
0.142	0
0.1425	-0.80566
0.143	-1.10779
0.1435	-0.50354
0.144	-6.74744
0.1445	-9.76868
0.145	-17.42249
0.1455	-12.68921
0.146	-16.61682
0.1465	-18.12744
0.147	-25.177
0.1475	-12.5885
0.148	-8.56018
0.1485	-11.88354
0.149	-3.02124
0.1495	-0.90637
0.15	2.01416
0.1505	1.61133
0.151	6.84814
0.1515	5.53894
0.152	0.90637
0.1525	-2.31628
0.153	-2.81982
0.1535	-1.2085
0.154	-4.43115
0.1545	-2.5177
0.155	-2.01416
0.1555	-5.23682
0.156	-5.0354
0.1565	-5.0354
0.157	-3.12195
0.1575	-4.43115
0.158	-7.95593
0.1585	1.3092
0.159	0.10071
0.1595	-3.42407
0.16	1.00708
0.1605	2.5177
0.161	5.63965
0.1615	7.65381
0.162	7.5531
0.1625	11.07788
0.163	9.36584
0.1635	5.33752
0.164	9.97009
0.1645	10.97717
0.165	14.19983
0.1655	19.03381
0.166	17.82532
0.1665	14.19983
0.167	11.38
0.1675	7.95593
0.168	7.65381
0.1685	12.08496
0.169	12.08496
0.1695	13.39417
0.17	13.89771
0.1705	17.42249
0.171	12.48779
0.1715	14.09912
0.172	10.87646
0.1725	6.74744
0.173	6.44531
0.1735	1.40991
0.174	5.13611
0.1745	8.35876
0.175	5.23682
0.1755	2.01416
0.176	5.33752
0.1765	6.64673
0.177	7.5531
0.1775	2.81982
0.178	4.22974
0.1785	-5.33752
0.179	-8.56018
0.1795	-3.7262
0.18	-7.25098
0.1805	1.71204
0.181	6.94885
0.1815	2.81982
0.182	6.3446
0.1825	8.35876
0.183	1.71204
0.1835	6.3446
0.184	14.19983
0.1845	9.66797
0.185	7.15027
0.1855	11.2793
0.186	12.28638
0.1865	11.68213
0.187	12.28638
0.1875	7.75452
0.188	8.56018
0.1885	10.37292
0.189	13.797
0.1895	10.97717
0.19	9.97009
0.1905	2.71912
0.191	2.81982
0.1915	9.56726
0.192	7.75452
0.1925	5.33752
0.193	6.94885
0.1935	5.43823
0.194	7.35168
0.1945	3.02124
0.195	5.43823
0.1955	10.17151
0.196	7.04956
0.1965	0.80566
0.197	7.95593
0.1975	9.66797
0.198	10.47363
0.1985	13.39417
0.199	16.41541
0.1995	17.52319
0.2	19.83948
0.2005	21.3501
0.201	24.47205
0.2015	26.28479
0.202	20.64514
0.2025	19.83948
0.203	12.28638
0.2035	8.96301
0.204	1.91345
0.2045	4.93469
0.205	-1.00708
0.2055	-3.92761
0.206	-5.43823
0.2065	-8.56018
0.207	-7.15027
0.2075	-3.42407
0.208	-8.45947
0.2085	-17.32178
0.209	-12.68921
0.2095	-11.38
0.21	-8.35876
0.2105	-10.87646
0.211	-7.35168
0.2115	-3.02124
0.212	1.2085
0.2125	4.63257
0.213	8.7616
0.2135	8.56018
0.214	11.68213
0.2145	11.2793
0.215	8.15735
0.2155	5.23682
0.216	2.21558
0.2165	7.25098
0.217	6.64673
0.2175	6.74744
0.218	0.30212
0.2185	-0.60425
0.219	2.31628
0.2195	7.85522
0.22	5.43823
0.2205	11.48071
0.221	12.78992
0.2215	14.30054
0.222	7.15027
0.2225	5.0354
0.223	4.12903
0.2235	8.56018
0.224	8.15735
0.2245	5.43823
0.225	5.43823
0.2255	-0.20142
0.226	-2.81982
0.2265	-4.22974
0.227	5.0354
0.2275	5.63965
0.228	1.2085
0.2285	-0.70496
0.229	-0.20142
0.2295	1.81274
0.23	2.81982
0.2305	0.20142
0.231	3.02124
0.2315	6.2439
0.232	3.32336
0.2325	10.77576
0.233	8.66089
0.2335	12.28638
0.234	8.96301
0.2345	4.73328
0.235	0.10071
0.2355	5.53894
0.236	9.16443
0.2365	13.89771
0.237	10.67505
0.2375	10.87646
0.238	14.50195
0.2385	11.68213
0.239	16.41541
0.2395	16.51611
0.24	11.78284
0.2405	10.97717
0.241	7.25098
0.2415	6.2439
0.242	4.33044
0.2425	4.43115
0.243	-2.11487
0.2435	-5.33752
0.244	-5.0354
0.2445	-1.00708
0.245	0.20142
0.2455	1.61133
0.246	2.61841
0.2465	7.65381
0.247	10.37292
0.2475	13.09204
0.248	16.3147
0.2485	12.08496
0.249	4.63257
0.2495	9.56726
0.25	-0.10071
0.2505	0.50354
0.251	3.02124
0.2515	1.3092
0.252	0.40283
0.2525	0.90637
0.253	-0.30212
0.2535	0
0.254	-0.10071
0.2545	-1.81274
0.255	2.01416
0.2555	-1.10779
0.256	-0.50354
0.2565	-0.10071
0.257	-0.10071
0.2575	4.93469
0.258	7.5531
0.2585	8.8623
0.259	0.90637
0.2595	1.61133
0.26	6.84814
0.2605	-0.30212
0.261	2.61841
0.2615	6.74744
0.262	4.43115
0.2625	-1.61133
0.263	5.13611
0.2635	-2.01416
0.264	-1.71204
0.2645	3.42407
0.265	5.74036
0.2655	10.47363
0.266	11.78284
0.2665	8.35876
0.267	12.08496
0.2675	4.93469
0.268	2.61841
0.2685	0.70496
0.269	6.2439
0.2695	4.53186
0.27	3.12195
0.2705	-1.91345
0.271	-1.2085
0.2715	-4.12903
0.272	-2.31628
0.2725	4.02832
0.273	1.3092
0.2735	6.44531
0.274	12.08496
0.2745	18.22815
0.275	16.81824
0.2755	21.04797
0.276	18.93311
0.2765	15.50903
0.277	13.29346
0.2775	12.38708
0.278	16.21399
0.2785	13.19275
0.279	9.16443
0.2795	11.88354
0.28	18.22815
0.2805	16.81824
0.281	12.99133
0.2815	19.13452
0.282	9.76868
0.2825	5.43823
0.283	1.00708
0.2835	5.43823
0.284	-6.94885
0.2845	-7.75452
0.285	-7.75452
0.2855	-3.32336
0.286	-6.44531
0.2865	-3.42407
0.287	-4.02832
0.2875	-1.3092
0.288	5.84106
0.2885	6.84814
0.289	7.35168
0.2895	7.25098
0.29	11.38
0.2905	7.95593
0.291	6.54602
0.2915	7.45239
0.292	4.12903
0.2925	4.93469
0.293	-1.2085
0.2935	-0.30212
0.294	-1.3092
0.2945	4.53186
0.295	2.92053
0.2955	11.78284
0.296	5.84106
0.2965	8.8623
0.297	6.74744
0.2975	7.95593
0.298	5.94177
0.2985	-0.20142
0.299	-2.92053
0.2995	4.83398
0.3	5.74036
0.3005	5.74036
0.301	1.10779
0.3015	4.93469
0.302	6.64673
0.3025	3.52478
0.303	3.92761
0.3035	3.92761
0.304	9.66797
0.3045	10.17151
0.305	2.92053
0.3055	1.71204
0.306	7.25098
0.3065	8.35876
0.307	2.71912
